"CN","GDP","FDINI","NFA","GDPg","GDPpcg","GCaFg","Ind1","ind2","Ser","ExGSgp","ADRold","ADRyoun","PPg","PPf","PPm","PP1519f","PP1519m","PP2024f","PP2024m","PP2529m","PP2529f","PP65above","PP65afnum","PP65af","PP1564m","PP1564f","Lab1524f","Lab1524m","Lab1524tot","Labf","Labtot","RFtoMlabpartcp"
"Kenya",5.03e+10,1.38e+09,-4.36e+09,4.563209131,1.78472733,9.400073767,4.177650394,-0.557554065,4.730284617,6.783171312,4.529669212,77.70201253,2.693169397,50.29335712,49.70664288,10.55914268,10.75922292,9.551063725,9.667307743,8.742212302,8.695954819,2.485665044,595597,2.713258352,54.50375255,55.24233218,34.80500031,41.04600143,37.93199921,47.71611114,16512800,88.33706273
"Kiribati",1.88e+08,-2385943.82,6437627.489,5.187798487,3.256959643,,-10,0,9.036929777,,5.90457903,59.18980442,1.85266743,50.75179859,49.24820141,10.25006007,10.94773732,9.42946384,10.02590279,8.403169282,8.503520801,3.57648692,2321,4.28964829,59.89638885,61.21758737,,,,,,
"KoreaDemPeoplesRep",,221333000,,,,,,,,,13.53976895,32.05274502,0.531448394,51.11908388,48.88091612,7.736851695,8.450779002,7.490920024,8.128732854,7.833347601,7.239392199,9.299770009,1492086,11.74394173,70.23280335,67.20463465,76.04699707,73.91200256,74.95800018,47.92508924,15633588,85.80322656
"Kosovo",6.5e+09,2.93e+08,-2.99e+08,2.89534857,2.08595684,-12.79635638,8.2932381,14.94228451,2.770558525,-16.5801495,,,0.789726589,,,,,,,,,,,,,,,,,,,
"KyrgyzRepublic",6.61e+09,260927500,-5.05e+08,-0.088150193,-1.738142576,42.42284511,-11.70507605,-27.96761464,2.645746301,-19.22107618,6.704183758,46.11130143,1.665236559,50.53048691,49.46951309,9.72919583,10.28999663,10.82643578,11.13624924,9.379748404,9.025732569,4.387115873,148896,5.255119964,65.36391681,65.51133837,33.55699921,55.70399857,44.74300003,41.30013559,2503062,67.02982286
"LaoPDR",1.02e+10,294375016,-8.23e+08,8.026098434,6.650641642,28.96603095,12.95439704,9.92714341,6.794654796,6.711,6.141840422,57.49761434,1.281438886,50.20516217,49.79483783,11.45212941,11.83612815,10.48403072,10.77844105,8.760204895,8.66907853,3.753276024,135284,4.200393325,60.7523174,61.46461099,66.37000275,59.67300034,62.98400116,49.99975378,3249142,96.75043226
"Lesotho",2.68e+09,56700000,-1.4e+08,5.998071843,4.691461124,42.04905235,5.109307186,-3.602098832,7.237770197,-0.288887614,7.470369704,61.97876381,1.240334488,51.53986313,48.46013687,11.27350542,12.13134923,10.39813581,11.20617389,9.7828652,9.163018906,4.408620775,54356,5.046302958,58.30865705,59.67887332,39.25,54.27500153,46.80899811,46.85626727,883647,79.45946238
"Liberia",1735500000,6.47e+08,-7.83e+08,7.99445127,5.117500739,25.35095388,46.92801029,3.14868164,3.830897487,1.290322581,5.686990071,80.09386868,2.700106954,49.66128645,50.33871355,10.12710589,10.28750436,8.710329069,8.808936303,7.815702285,7.762344007,3.0611281,68511,3.299167154,53.50622487,54.15202144,30.75099945,32.00799942,31.38800049,47.96480133,1337437,91.61384725
"Madagascar",9.92e+09,8.15e+08,-6.68e+08,3.027508092,0.249146997,5.81848333,9.297313562,,2.817803188,1.82389618,5.179632833,78.80633335,2.733746404,50.1712544,49.8287456,10.95239297,10.97848051,9.007543019,9.038061898,7.583066757,7.521050373,2.815232564,338762,3.021542321,54.1612588,54.54138002,77.07499695,79.68099976,78.375,49.49269691,11286251,95.97910887
"Malawi",6.03e+09,-8886001.78,-1.38e+08,1.885799507,-1.087023305,14.26795144,-0.546772087,-6.400000082,4.683751869,57.08012376,5.758328972,89.09683914,2.961213309,50.52480498,49.47519502,11.18207048,11.39432235,9.652230087,9.76914501,7.88853638,7.756098017,2.955184113,268851,3.305625284,50.93126383,51.70102898,62.9679985,66.8809967,64.91899872,48.05468979,6766967,88.15460058
"Mali",1.24e+10,3.98e+08,-1.89e+08,-0.836178866,-3.721145407,-10.40065674,-9.368409544,,-3.737221887,8.753965382,5.387472248,96.69127886,2.952452524,50.01688359,49.98311641,10.27967027,10.50632263,8.526018185,8.69993988,7.300625076,7.195534369,2.6660261,236915,2.95920515,48.99749145,49.97345128,49.95199966,68.04499817,59.0909996,41.07018328,5704350,67.58974114
"Mauritania",5.23e+09,1.39e+09,-1.29e+09,5.795078172,2.685863691,31.4549932,3.046721627,8.69681942,7.469118281,5.960511044,5.527977299,72.85307581,2.98295374,49.72654441,50.27345559,10.32250104,10.51681222,9.078699705,9.281816043,8.099738626,7.911080543,3.098971109,68352,3.588700256,56.12795643,55.99074893,22.66500092,43.76499939,33.38000107,30.92752657,1119569,44.63248949
"MicronesiaFedSts",3.26e+08,1e+06,39353400,-1.989479307,-2.022622,,-1.228197391,-7.962414832,-1.487491548,,6.594180852,59.14586302,0.033821164,48.87439614,51.12560386,12.49579915,12.66181612,10.56044282,11.54493055,9.537938203,8.830681032,3.978628639,2298,4.542848671,60.49891335,60.17001087,,,,,,
"Moldova",7.28e+09,250770000,-508650000,-0.700000153,-0.686972241,-2.790000421,0.800000511,1.799998828,4.406662298,1.699999912,13.62464367,21.70171561,-0.01311889,51.9073414,48.0926586,6.788054024,7.588734729,9.18335932,10.27453687,10.18796889,9.062246253,10.06798974,223765,12.11078654,75.01426636,72.86017423,18.36499977,22.4640007,20.45100021,49.00720325,1217923,86.84667559
"Mongolia",1.23e+10,4.27e+09,-5.05e+09,12.31981985,10.2160877,17.42186013,14.83877748,8.740090083,10.26617133,8.304896966,5.589358216,40.03999052,1.890746389,50.42713388,49.57286612,8.841601768,9.193665503,10.69463588,11.01419191,10.31509772,9.838267335,3.838071285,62066,4.373518461,68.67630857,68.65894082,28.62299919,39.05400085,33.88199997,45.98738926,1212141,82.4819418
"Morocco",9.83e+10,2.84e+09,-9.8e+09,3.009961262,1.53897028,-0.932177672,0.764296212,1.775813169,6.30397577,2.653153737,9.404895812,42.56108938,1.435127388,50.65381104,49.34618896,8.994769567,9.60886573,9.069428277,9.34275764,8.597464094,8.90046601,6.188816399,1133914,6.715576433,65.26862649,66.32630997,17.67499924,51.31600189,34.67900085,25.92486404,11795977,33.10193901
"Mozambique",1.45e+10,5.64e+09,-6.27e+09,7.198185826,4.118748884,113.4032379,6.583768868,0.050076611,10.26784051,13.28491621,6.11397725,89.12960116,2.914726127,51.35281888,48.64718112,10.36638889,10.86780777,8.58577294,8.898781565,7.387574968,7.321900106,3.131461378,467428,3.544971803,50.2137228,52.16961424,75.34999847,67.40299988,71.40100098,54.99546649,11084130,109.9295129
"Myanmar",5.99e+10,1.33e+09,4.6e+09,7.332670447,6.420137223,,8.003110853,8.32437387,12.03802674,,7.623259853,44.32129707,0.853826228,51.18671595,48.81328405,8.948657151,9.364795862,8.460016465,8.729257429,8.407803734,8.137279192,5.01713257,1457560,5.584880987,65.51889595,66.09448548,56.15000153,70.12599945,63.10699844,41.00856235,24112996,64.68464678
"Nepal",1.89e+10,9.2e+07,8.35e+08,4.781192258,3.558003997,-21.6436538,3.004724409,3.630465377,5.151748841,1.91686107,8.512683949,59.1368421,1.174241178,51.40462562,48.59537438,10.98594469,11.11867173,9.550983185,8.676317877,7.108069929,8.261321773,5.077666576,738013,5.192395624,57.89404705,61.31104414,76.22200012,76.09999847,76.16400146,51.04047396,14972888,93.13443238
"Nicaragua",1.05e+10,767700000,-1.561e+09,6.496136543,5.240603327,5.64658068,12.62782594,10.21927285,5.210148569,12.39637418,7.60490681,49.78631929,1.185951888,50.73094637,49.26905363,10.03205756,10.86104928,9.807741844,10.38940183,9.464721413,9.250977356,4.83184927,158306,5.309587887,62.73256446,64.31649445,32.01800156,69.58200073,51.17100143,38.01240283,2620692,57.3710334
"Niger",6.94e+09,8.41e+08,-7.69e+08,11.84981918,7.642445755,3.900140133,62.78734973,45.76196384,3.757073949,18.9272756,5.292612804,106.0456849,3.83420241,49.97079231,50.02920769,10.14830986,9.854293701,8.042039411,7.171821518,5.743988612,6.699325714,2.504332088,243670,2.750027707,46.60969298,48.02641751,59.05099869,83.7440033,70.9960022,43.55063501,6989285,74.33798175
"Nigeria",4.61e+11,7.07e+09,1.24e+10,4.279277314,1.524085569,3.359866938,2.427698058,13.45925948,3.968698618,-3.588971903,5.201311121,83.26060403,2.677659222,49.3920018,50.6079982,10.15201712,10.21739248,8.739064095,8.775834174,7.675825787,7.628654358,2.759873854,2423222,2.932565168,52.84434712,53.28322087,22.36300087,27.50099945,24.96999931,45.07138836,51416082,82.90761672
"Pakistan",2.24e+11,8.59e+08,-2.561e+09,3.50703342,1.338548629,2.540948328,2.547464577,2.084523479,4.397139399,-15.00084242,7.453542147,59.70922123,2.1172688,48.61500288,51.38499712,10.64976379,10.67464552,10.01903732,9.926834037,8.524589063,8.645259146,4.458853154,3827559,4.425348686,59.44870037,60.21648229,19.37000084,62.9469986,41.72700119,21.04187171,59382954,27.86172214
"PapuaNewGuinea",2.13e+10,-63800000,-1.47e+09,4.648420685,2.374186109,,-2.204377263,-0.521285838,5.964880106,,5.957285315,64.13135683,2.197176533,49.13652322,50.86347678,10.06999791,10.30416351,8.800351222,8.962585515,8.176757253,8.058030506,3.502459212,147587,4.042092959,58.75712612,58.82979318,56.50099945,54.52099991,55.48400116,48.75966955,3279368,96.72693131
"Philippines",2.5e+11,3.22e+09,2.49e+09,6.683818881,4.934106153,-4.286819861,7.259561663,5.389957424,7.145157109,8.578908985,6.872578476,53.05302737,1.65369035,49.53652928,50.46347072,10.21912969,10.47804105,9.195927757,9.307074486,8.046674677,8.008805784,4.297359663,2384683,4.969707844,62.52838683,62.52977376,33.91400146,53.29199982,43.78499985,39.13686117,40509613,64.21225129
"Rwanda",7.33e+09,2.55e+08,-6.1e+08,8.64572902,5.898764235,21.164771,8.323638894,5.777827199,11.59844055,8.79307579,4.841835557,74.636995,2.560881303,51.00947265,48.99052735,9.948801963,9.988544163,9.697445331,10.01520192,9.224418056,9.531273395,2.697719581,168486,3.061524864,55.28153832,56.13506063,78.53500366,78.3030014,78.42099762,51.33341799,5473265,98.57469233
"SaoTomeandPrincipe",2.53e+08,22500000,-65800000,3.141975849,0.835945747,,2.144990907,-1.492423952,3.354717132,,6.371369295,83.34751037,2.261154869,50.22663525,49.77336475,10.25353523,10.51278671,9.424021075,9.630679322,7.654451182,7.506994263,3.358321167,3420,3.723016296,52.5145004,52.90275525,23.05200005,53.09000015,38.1780014,35.50052988,59447,53.46299591
"Senegal",1.42e+10,2.76e+08,-1.12e+09,4.411180285,1.343627138,17.47845989,3.605638068,3.223796617,4.696709016,9.14866399,5.688606206,80.40594062,2.981976938,51.00388448,48.99611552,10.46549975,10.99733222,9.277273763,9.60405958,8.148083939,8.121268328,3.056836594,236103,3.378050562,52.69463548,54.73707268,31.2859993,52.2140007,41.76200104,41.14194421,4408394,64.03097446
"SierraLeone",3.8e+09,7.22e+08,-1.09e+09,15.18176908,12.55317591,-20.68601791,127.4461153,4.020561747,6.107658116,157.2784063,4.611304498,80.97376093,2.308569652,50.57196161,49.42803839,10.72381092,10.68177353,9.124190838,9.134597415,7.917769397,7.867290129,2.484739,86389,2.524702272,53.56937714,54.19089647,37.01900101,27.57299995,32.35400009,50.28499354,2273034,97.63281992
"SolomonIslands",1.06e+09,23900000,88600000,4.555394299,2.296252685,,,,,,6.005594252,71.930017,2.184397831,49.20222507,50.79777493,10.24553464,10.69469281,8.733191582,8.61521878,7.302787266,7.978862574,3.375150264,9111,3.357445821,55.49225997,56.93065111,55.38299942,64.57900238,60.09400177,43.55634565,235697,77.81525571
"Somalia",,107330000,,,,,,,,,5.325662806,94.86154155,2.853371049,50.12922899,49.87077101,10.77415966,10.81072122,8.652092255,8.517587442,6.735561067,6.939597083,2.660341266,177270,2.770543745,49.67392435,50.23126937,12.79199982,51.34199905,31.96899986,19.56061312,3082204,23.83653089
"SouthSudan",1.13e+10,1.61e+08,,-52.42754292,-54.05195539,,,,,,6.380066902,80.10930865,3.474266787,49.97606362,50.02393638,10.85000758,11.00349076,9.190720868,9.249907469,7.492868717,7.497789714,3.421142295,198697,3.675123092,53.38091279,53.86415341,64.67099762,60.9109993,62.77999878,48.79759337,4501888,93.75223849
"SriLanka",6.84e+10,9.41e+08,-4.26e+09,9.144579388,8.556865886,21.69887183,9.033685753,5.513207344,11.22058182,-0.181488201,12.0746794,37.67092902,0.539927449,51.56127797,48.43872203,7.586372972,8.075603198,7.5619692,7.607047978,7.493659151,7.7319315,8.063460869,933425,8.86325997,66.60515085,66.94436007,23.17700005,46.4109993,34.63199997,32.12896247,8172455,43.30406065
"Sudan",6.81e+10,2.31e+09,-3.31e+09,0.521559267,12.81520637,-22.10023343,8.288359097,,-8.470522463,-28.37915964,6.178705947,78.43903989,2.312938523,50.11435199,49.88564801,10.62636576,10.93446898,8.759420126,8.886350294,7.316683692,7.486045742,3.34675625,645795,3.580538993,53.68581492,54.64444912,16.40600014,42.16899872,29.40099907,25.03265783,9754170,32.42455429
"Swaziland",4.82e+09,26500000,2.51e+08,4.71815574,2.796887946,3.216138199,5.319903606,1.756245535,1.749367854,2.643995538,5.279805052,66.36687308,1.851743043,51.51038812,48.48961188,11.76846624,12.56109288,11.29174249,12.04657434,9.775026189,9.402423281,3.075972753,22923,3.565395922,57.39376696,59.07346056,32.1969986,46.20500183,39.21699905,40.68964838,405946,61.80867165
"SyrianArabRepublic",,,,,,,,,,,6.211462801,63.07202508,-2.1475709,49.52816272,50.47183728,10.06892426,10.58085974,9.066620526,9.436439677,8.871011638,8.86748072,3.66926679,397144,3.926675895,58.81789573,59.3323512,8.727000237,49.05899811,29.53700066,15.01281341,5480978,17.70975293
"Tajikistan",7.63e+09,239347550,-3.73e+08,7.499999169,5.091681716,5.277529598,7.696076979,10.30075177,5.826456729,5.859809772,5.446026881,57.85761177,2.265771146,49.64191035,50.35808965,10.72208114,10.96957847,10.65470736,10.64587068,8.974949344,9.023601736,3.334908472,135572,3.415855716,60.6288818,61.85086912,36.39899826,54.76599884,45.69900131,39.3368729,3055553,64.38591881
"Tanzania",3.91e+10,1.8e+09,-3.55e+09,5.141013621,1.907347765,-5.930076364,4.04648601,4.114145747,7.431240436,16.04536797,6.003139026,87.76989775,3.129140975,50.62561992,49.37438008,10.45068145,10.58633328,9.058029937,8.816334615,7.434989689,7.683894579,3.098025982,825151,3.320718121,51.03908593,52.16111623,68.38999939,69.4489975,68.91100311,50.09960727,22388425,95.14003595
"TimorLeste",6.67e+09,40400000,2.67e+09,4.964954576,2.674937149,-10.03054368,2.907718112,,9.447325155,30.90705487,6.285141101,87.74741348,2.205848079,49.21237175,50.78762825,11.27371674,11.37545469,8.143748759,8.111415796,6.93029534,6.93641517,3.23921989,20112,3.532939496,51.5946573,51.4786455,9.69699955,16.77499962,13.29800034,31.620652,256440,47.3225379
"Togo",3.87e+09,1.22e+08,-2190872.769,4.820343516,2.066691578,23.25169486,-35.7504411,15.04094996,37.15563404,118.3970681,5.020977711,77.44951889,2.662143194,50.19782097,49.80217903,10.15464181,10.28674485,9.126823245,9.246955585,8.169551132,8.08294456,2.751665505,101746,2.95488762,54.74189978,54.86435734,64.1969986,64.78500366,64.49199677,49.14966561,3078436,95.01412877
